Date,Rate,BOP,GDP,GGDEBT,PPP,TERMTRADE,INTRATE,INFRATE,PPI
1999-12-29,1.004,,,,,,,,
1999-12-30,1.0066,,,,,,,,
1999-12-31,1.0088,,,,,,,,
2000-01-03,1.0088,,,,0.8303,,,,
2000-01-04,1.0301,,,,0.8303,,,,
2000-01-05,1.0315,,,,0.8303,,,,
2000-01-06,1.0315,,,,0.8303,,,,
2000-01-07,1.0296,,,,0.8303,,,,
2000-01-10,1.0254,,,,0.8303,,,,
2000-01-11,1.0331,,,,0.8303,,,,
2000-01-12,1.0308,,,,0.8303,,,,
2000-01-13,1.0252,,,,0.8303,,,,
2000-01-14,1.0142,,,,0.8303,,,,
2000-01-18,1.0135,,,,0.8303,,,,
2000-01-19,1.0125,,,,0.8303,,,,
2000-01-20,1.0175,,,,0.8303,,,,
2000-01-21,1.0085,,,,0.8303,,,,
2000-01-24,1.007,,,,0.8303,,,,
2000-01-25,1.0009,,,,0.8303,,,,
2000-01-26,1.0014,,,,0.8303,,,,
2000-01-27,0.9882,,,,0.8303,,,,
2000-01-28,0.9769,,,,0.8303,,,,
2000-01-31,0.9688,,,,0.8303,,,,
2000-02-01,0.9721,,,,0.8303,,,,
2000-02-02,0.9765,,,,0.8303,,,,
2000-02-03,0.99,,,,0.8303,,,,
2000-02-04,0.9821,,,,0.8303,,,,
2000-02-07,0.98,,,,0.8303,,,,
2000-02-08,0.986,,,,0.8303,,,,
2000-02-09,0.9927,,,,0.8303,,,,
2000-02-10,0.9851,,,,0.8303,,,,
2000-02-11,0.9866,,,,0.8303,,,,
2000-02-14,0.98,,,,0.8303,,,,
2000-02-15,0.981,,,,0.8303,,,,
2000-02-16,0.9865,,,,0.8303,,,,
2000-02-17,0.988,,,,0.8303,,,,
2000-02-18,0.9848,,,,0.8303,,,,
2000-02-22,1.0037,,,,0.8303,,,,
2000-02-23,1.0034,,,,0.8303,,,,
2000-02-24,0.9924,,,,0.8303,,,,
2000-02-25,0.9744,,,,0.8303,,,,
2000-02-28,0.9714,,,,0.8303,,,,
2000-02-29,0.9645,,,,0.8303,,,,
2000-03-01,0.9732,,,,0.8303,,,,
2000-03-02,0.9651,,,,0.8303,,,,
2000-03-03,0.9582,,,,0.8303,,,,
2000-03-06,0.9586,,,,0.8303,,,,
2000-03-07,0.9581,,,,0.8303,,,,
2000-03-08,0.9607,,,,0.8303,,,,
2000-03-09,0.9667,,,,0.8303,,,,
2000-03-10,0.9632,,,,0.8303,,,,
2000-03-13,0.9633,,,,0.8303,,,,
2000-03-14,0.9681,,,,0.8303,,,,
2000-03-15,0.9668,,,,0.8303,,,,
2000-03-16,0.969,,,,0.8303,,,,
2000-03-17,0.9718,,,,0.8303,,,,
2000-03-20,0.9729,,,,0.8303,,,,
2000-03-21,0.9608,,,,0.8303,,,,
2000-03-22,0.9606,,,,0.8303,,,,
2000-03-23,0.9715,,,,0.8303,,,,
2000-03-24,0.9753,,,,0.8303,,,,
2000-03-27,0.9671,,,,0.8303,,,,
2000-03-28,0.9594,,,,0.8303,,,,
2000-03-29,0.9512,,,,0.8303,,,,
2000-03-30,0.9615,,,,0.8303,,,,
2000-03-31,0.9554,,,,0.8303,,,,
2000-04-03,0.9555,,,,0.8303,,,,
2000-04-04,0.9592,,,,0.8303,,,,
2000-04-05,0.9623,,,,0.8303,,,,
2000-04-06,0.9583,,,,0.8303,,,,
2000-04-07,0.9545,,,,0.8303,,,,
2000-04-10,0.9623,,,,0.8303,,,,
2000-04-11,0.959,,,,0.8303,,,,
2000-04-12,0.9587,,,,0.8303,,,,
2000-04-13,0.9528,,,,0.8303,,,,
2000-04-14,0.962,,,,0.8303,,,,
2000-04-17,0.9523,,,,0.8303,,,,
2000-04-18,0.9453,,,,0.8303,,,,
2000-04-19,0.9401,,,,0.8303,,,,
2000-04-20,0.9383,,,,0.8303,,,,
2000-04-24,0.9378,,,,0.8303,,,,
2000-04-25,0.9203,,,,0.8303,,,,
2000-04-26,0.923,,,,0.8303,,,,
2000-04-27,0.9093,,,,0.8303,,,,
2000-04-28,0.9113,,,,0.8303,,,,
2000-05-01,0.9154,,,,0.8303,,,,
2000-05-02,0.9093,,,,0.8303,,,,
2000-05-03,0.8941,,,,0.8303,,,,
2000-05-04,0.8896,,,,0.8303,,,,
2000-05-05,0.8971,,,,0.8303,,,,
2000-05-08,0.8974,,,,0.8303,,,,
2000-05-09,0.9073,,,,0.8303,,,,
2000-05-10,0.9065,,,,0.8303,,,,
2000-05-11,0.9014,,,,0.8303,,,,
2000-05-12,0.918,,,,0.8303,,,,
2000-05-15,0.9112,,,,0.8303,,,,
2000-05-16,0.9003,,,,0.8303,,,,
2000-05-17,0.8948,,,,0.8303,,,,
2000-05-18,0.8945,,,,0.8303,,,,
2000-05-19,0.897,,,,0.8303,,,,
2000-05-22,0.9028,,,,0.8303,,,,
2000-05-23,0.9066,,,,0.8303,,,,
2000-05-24,0.9038,,,,0.8303,,,,
2000-05-25,0.9113,,,,0.8303,,,,
2000-05-26,0.9307,,,,0.8303,,,,
2000-05-30,0.9301,,,,0.8303,,,,
2000-05-31,0.9373,,,,0.8303,,,,
2000-06-01,0.9309,,,,0.8303,,,,
2000-06-02,0.9458,,,,0.8303,,,,
2000-06-05,0.9477,,,,0.8303,,,,
2000-06-06,0.9542,,,,0.8303,,,,
2000-06-07,0.9613,,,,0.8303,,,,
2000-06-08,0.9559,,,,0.8303,,,,
2000-06-09,0.953,,,,0.8303,,,,
2000-06-12,0.9532,,,,0.8303,,,,
2000-06-13,0.9594,,,,0.8303,,,,
2000-06-14,0.9577,,,,0.8303,,,,
2000-06-15,0.9544,,,,0.8303,,,,
2000-06-16,0.9645,,,,0.8303,,,,
2000-06-19,0.9564,,,,0.8303,,,,
2000-06-20,0.9545,,,,0.8303,,,,
2000-06-21,0.9443,,,,0.8303,,,,
2000-06-22,0.9354,,,,0.8303,,,,
2000-06-23,0.9351,,,,0.8303,,,,
2000-06-26,0.9365,,,,0.8303,,,,
2000-06-27,0.9452,,,,0.8303,,,,
2000-06-28,0.941,,,,0.8303,,,,
2000-06-29,0.9515,,,,0.8303,,,,
2000-06-30,0.9525,,,,0.8303,,,,
2000-07-03,0.95,,,,0.8303,,,,
2000-07-05,0.9527,,,,0.8303,,,,
2000-07-06,0.9507,,,,0.8303,,,,
2000-07-07,0.9481,,,,0.8303,,,,
2000-07-10,0.9549,,,,0.8303,,,,
2000-07-11,0.9524,,,,0.8303,,,,
2000-07-12,0.9423,,,,0.8303,,,,
2000-07-13,0.9371,,,,0.8303,,,,
2000-07-14,0.938,,,,0.8303,,,,
2000-07-17,0.9361,,,,0.8303,,,,
2000-07-18,0.9251,,,,0.8303,,,,
2000-07-19,0.9244,,,,0.8303,,,,
2000-07-20,0.933,,,,0.8303,,,,
2000-07-21,0.9369,,,,0.8303,,,,
2000-07-24,0.9332,,,,0.8303,,,,
2000-07-25,0.9382,,,,0.8303,,,,
2000-07-26,0.9429,,,,0.8303,,,,
2000-07-27,0.9314,,,,0.8303,,,,
2000-07-28,0.9231,,,,0.8303,,,,
2000-07-31,0.926,,,,0.8303,,,,
2000-08-01,0.9141,,,,0.8303,,,,
2000-08-02,0.9135,,,,0.8303,,,,
2000-08-03,0.9065,,,,0.8303,,,,
2000-08-04,0.9079,,,,0.8303,,,,
2000-08-07,0.9069,,,,0.8303,,,,
2000-08-08,0.902,,,,0.8303,,,,
2000-08-09,0.9006,,,,0.8303,,,,
2000-08-10,0.9083,,,,0.8303,,,,
2000-08-11,0.9034,,,,0.8303,,,,
2000-08-14,0.9056,,,,0.8303,,,,
2000-08-15,0.913,,,,0.8303,,,,
2000-08-16,0.9158,,,,0.8303,,,,
2000-08-17,0.9162,,,,0.8303,,,,
2000-08-18,0.9063,,,,0.8303,,,,
2000-08-21,0.9016,,,,0.8303,,,,
2000-08-22,0.8963,,,,0.8303,,,,
2000-08-23,0.9016,,,,0.8303,,,,
2000-08-24,0.9024,,,,0.8303,,,,
2000-08-25,0.902,,,,0.8303,,,,
2000-08-28,0.8997,,,,0.8303,,,,
2000-08-29,0.8921,,,,0.8303,,,,
2000-08-30,0.8938,,,,0.8303,,,,
2000-08-31,0.8877,,,,0.8303,,,,
2000-09-01,0.8996,,,,0.8303,,,,
2000-09-05,0.8895,,,,0.8303,,,,
2000-09-06,0.8701,,,,0.8303,,,,
2000-09-07,0.8712,,,,0.8303,,,,
2000-09-08,0.8666,,,,0.8303,,,,
2000-09-11,0.8574,,,,0.8303,,,,
2000-09-12,0.8637,,,,0.8303,,,,
2000-09-13,0.8592,,,,0.8303,,,,
2000-09-14,0.8643,,,,0.8303,,,,
2000-09-15,0.8538,,,,0.8303,,,,
2000-09-18,0.8534,,,,0.8303,,,,
2000-09-19,0.8505,,,,0.8303,,,,
2000-09-20,0.8488,,,,0.8303,,,,
2000-09-21,0.8595,,,,0.8303,,,,
2000-09-22,0.8764,,,,0.8303,,,,
2000-09-25,0.8743,,,,0.8303,,,,
2000-09-26,0.883,,,,0.8303,,,,
2000-09-27,0.8831,,,,0.8303,,,,
2000-09-28,0.8785,,,,0.8303,,,,
2000-09-29,0.8831,,,,0.8303,,,,
2000-10-02,0.8765,,,,0.8303,,,,
2000-10-03,0.8755,,,,0.8303,,,,
2000-10-04,0.8748,,,,0.8303,,,,
2000-10-05,0.869,,,,0.8303,,,,
2000-10-06,0.8683,,,,0.8303,,,,
2000-10-09,0.8683,,,,0.8303,,,,
2000-10-10,0.8717,,,,0.8303,,,,
2000-10-11,0.8682,,,,0.8303,,,,
2000-10-12,0.863,,,,0.8303,,,,
2000-10-13,0.855,,,,0.8303,,,,
2000-10-16,0.8495,,,,0.8303,,,,
2000-10-17,0.854,,,,0.8303,,,,
2000-10-18,0.8389,,,,0.8303,,,,
2000-10-19,0.8432,,,,0.8303,,,,
2000-10-20,0.8414,,,,0.8303,,,,
2000-10-23,0.8357,,,,0.8303,,,,
2000-10-24,0.8355,,,,0.8303,,,,
2000-10-25,0.8271,,,,0.8303,,,,
2000-10-26,0.8295,,,,0.8303,,,,
2000-10-27,0.8389,,,,0.8303,,,,
2000-10-30,0.8405,,,,0.8303,,,,
2000-10-31,0.8485,,,,0.8303,,,,
2000-11-01,0.8613,,,,0.8303,,,,
2000-11-02,0.858,,,,0.8303,,,,
2000-11-03,0.8668,,,,0.8303,,,,
2000-11-06,0.8619,,,,0.8303,,,,
2000-11-07,0.8603,,,,0.8303,,,,
2000-11-08,0.8552,,,,0.8303,,,,
2000-11-09,0.8672,,,,0.8303,,,,
2000-11-10,0.8596,,,,0.8303,,,,
2000-11-13,0.8568,,,,0.8303,,,,
2000-11-14,0.8582,,,,0.8303,,,,
2000-11-15,0.8576,,,,0.8303,,,,
2000-11-16,0.8533,,,,0.8303,,,,
2000-11-17,0.8481,,,,0.8303,,,,
2000-11-20,0.8508,,,,0.8303,,,,
2000-11-21,0.8432,,,,0.8303,,,,
2000-11-22,0.8448,,,,0.8303,,,,
2000-11-24,0.8383,,,,0.8303,,,,
2000-11-27,0.8523,,,,0.8303,,,,
2000-11-28,0.8561,,,,0.8303,,,,
2000-11-29,0.8569,,,,0.8303,,,,
2000-11-30,0.8726,,,,0.8303,,,,
2000-12-01,0.8793,,,,0.8303,,,,
2000-12-04,0.887,,,,0.8303,,,,
2000-12-05,0.8797,,,,0.8303,,,,
2000-12-06,0.8921,,,,0.8303,,,,
2000-12-07,0.8899,,,,0.8303,,,,
2000-12-08,0.8879,,,,0.8303,,,,
2000-12-11,0.8775,,,,0.8303,,,,
2000-12-12,0.8794,,,,0.8303,,,,
2000-12-13,0.8767,,,,0.8303,,,,
2000-12-14,0.8921,,,,0.8303,,,,
2000-12-15,0.8943,,,,0.8303,,,,
2000-12-18,0.8948,,,,0.8303,,,,
2000-12-19,0.8952,,,,0.8303,,,,
2000-12-20,0.9094,,,,0.8303,,,,
2000-12-21,0.9166,,,,0.8303,,,,
2000-12-22,0.9231,,,,0.8303,,,,
2000-12-26,0.9307,,,,0.8303,,,,
2000-12-27,0.9304,,,,0.8303,,,,
2000-12-28,0.9295,,,,0.8303,,,,
2000-12-29,0.9422,,,,0.8303,,,,
2001-01-02,0.951,,,,0.827453,,,,
2001-01-03,0.927,,,,0.827453,,,,
2001-01-04,0.9494,,,,0.827453,,,,
2001-01-05,0.9573,,,,0.827453,,,,
2001-01-08,0.9469,,,,0.827453,,,,
2001-01-09,0.9438,,,,0.827453,,,,
2001-01-10,0.9363,,,,0.827453,,,,
2001-01-11,0.9523,,,,0.827453,,,,
2001-01-12,0.9515,,,,0.827453,,,,
2001-01-16,0.942,,,,0.827453,,,,
2001-01-17,0.9356,,,,0.827453,,,,
2001-01-18,0.9429,,,,0.827453,,,,
2001-01-19,0.9338,,,,0.827453,,,,
2001-01-22,0.9384,,,,0.827453,,,,
2001-01-23,0.9364,,,,0.827453,,,,
2001-01-24,0.9215,,,,0.827453,,,,
2001-01-25,0.9239,,,,0.827453,,,,
2001-01-26,0.9238,,,,0.827453,,,,
2001-01-29,0.9165,,,,0.827453,,,,
